song_id,song_artist,song_title,cluster
3FCPOqUmiJsepiiHCoBYJ5,"AriBeatz, Nimo, Lacrim",J-Lo,7
38kmnVWMW8h5GpnRgNQueB,"MADE, CALI, Kenan, Infinit",Ma Jolie,7
5TcDi7siTwegIfZYR4VekF,DANO,TMAX,8
7gQwzl8rXRpe0rTOTU5pyb,"Rap La Rue, Haaland936, Aymen, Amo","Champions League (feat. Haaland936, Aymen & Amo)",8
3ThmZJ7LQ3C20FpxU5kXJB,Bobby Vandamme,BANDIT,8
6zF5LE8eK9Bf98UwLVe8Du,"Rap La Rue, Kauta, Aymen",Egal,8
7kXUQYKAZAgnhv617HTpEf,BOJAN,BABE,7
3Q0Ea0cCEbDc78njXNqdpR,"Olexesh, Haaland936",Nach vorne,7
64PC5XVJuKbvxYHecenRGO,"Rap La Rue, Jiyo",Katastrophe,7
3uBXhhgrVB5a3FizUGNv52,"Rap La Rue, Aymen",Up and down,7
1D0kYwRjSpYq7s7iieS8Oi,Bobby Vandamme,Brazil Funk Freestyle 🇧🇷,7
1QA3bX5WWKkLqHb6Ft69Qc,"Delil, Avie",Pasaport,8
7JPVbntiN50pjt6zgHUp1C,Zuna,Papaya,8
3BzqMLJnK8bHmlnKssixn5,"Jamal, HoodBlaq",REIN GEHEN,8
3dgOu83QnvkooEa4Jz2Msr,Jazeek,Superstars,7
41F0ZBrTh0dbXP04FPnlXZ,"Summer Cem, Pajel",PRAY FOR ME,7
3aeCyLTeN6ypImKPtdjYjZ,"Moha K, Lyna Mahyem",Allo,7
1u59aqUTvk0X1TxchtyyNZ,MERO,Leben lang,8
0Ku0BoIMWmwcvKm8mOMrki,Mikael,Auf dem Weg,8
5jGcOhXpPE07vrSe23198B,"Luciano, Morad",Familia (feat. Morad),7
4mmJKxvz0B1dqqak8tWWMW,Ardian Bujupi,Teuer,8
2ICTOUkSaXWPrdJGZhJIkS,DANO,Licht aus,7
3r7sw5soVrbMM5jX6ScvYX,Dardan,Pse,7
0atxjWna6ikysmEzrqGXLW,"Dardan, Monet192",APARTMENT (feat. Monet192),0
5XO5xTh36v4kdblErCUk4k,"Eno, Morad, MERO",Imaginando (feat. Morad & MERO),8
5Tpojb1ynbO0MgfAwgDza5,"Luciano, Hurts, 6PM RECORDS, SIRA",WONDERFUL LIFE,8
1PoxR9dqTzlGYFJkHnpNfS,YAKARY,THOT,7
5LeiVdGtVjwRocR3TDQvcN,"Hava, Dardan",Killa,8
13sDAmZXzKXctwIIvL9RFd,"Dhurata Dora, RAF Camora",PALMA,8
75DdaV9r56VZiSpXh8fsUY,"Jazeek, MERO",Baile Funk im Blut,8
2RMALBOw1E6ZDJJEPGrKif,"Ashafar, RAF Camora, Elai",TIKI TAKA,8
2HhiBxUs6rHRVsw6prFbYn,"Azet, DJ Gimi-O",Bona,8
6hjck7ERXicpsW51UkdHCA,"Maxwell, RAF Camora, Bonez MC",Safari,8
4nYZgQFAD8ARv7mBFwtn79,"BARÉ, Biggie68, Azu, Bayor, VITO",Bunker Paket,8
3DYJ9tHSIhZqCVT8l5QAd0,"Lune, SHABAB",NuR Du :/,8
5obtXG3NaPZykEFPWRPTPo,"Dardan, Azet",Malli,8
5BfCoUcWNXcpyJfjXRIeyC,"Heuss L'enfoiré, Jul",Moulaga,8
2lckikJBGAkGIXXq6ZPjsr,Jazeek,Lüg mich an,7
3LHEkrzQf5Von16auXW10H,"Ali471, DYSTINCT",Bebeğim,8
3RVnrzdtHaAqc2pPevMX6K,"CALO, OG LOCKE",Come closer,8
4pXxza5VlUMy0edWCutDGW,Zuna,Ma Jolie,8
44IkrAeQhRxZpuyshIeVEW,"Dardan, Nimo",2011,8
4Ww41FseIYOCL0qP6MIGG5,Luciano,Cold Princess,7
5qQLBOEAelSN7JWqX3RIIv,"RAF Camora, Ski Aggu",Liebe Grüsse,8
2AQjQLPLY5EZ667L2Z9M0D,Zuna,La 3youne,4
2DynufiRAu0Nyn5TM1Cdpx,Jazeek,Noch einmal,7
5ReQQXU6JXKWOi0O9GwI9x,"Bonez MC, Ufo361",MONEY & FAME,7
6susW8spInEVk0vKE33aWd,"CAPO, MERO",PSYCHO (feat. MERO),8
6HEto05GbTMwdbE68M3kXU,"Jamal, HoodBlaq, AJ Tracey",BONITA (feat. AJ Tracey),8
3pyZgbg3uC8NlBQ3E81zlb,"Hava, Dardan",Normal,8
0ya0fBUHF1TKookyKM5ZVQ,Jazeek,Take it,8
1JEfGq3ZWwHLHpc4wBY5u6,Sosa La M,Pâtissier,7
56RnsXj3ZH5VAElAo9H1ot,Boondawg,GANGSIGNS,9
5kqZssYaSQ9WiSopMn5MDo,"102 Boyz, Chapo102, Stacks102, Kkuba102",Komme was wolle,7
6GxlYRWW4RJxpsnDtaYcZa,Sampagne,agavendicksaft,8
6IMyz7eNbGhmDrgdelmqgB,"$ONO$ CLIQ, Drunken Masters, Jonko2x, Radrik Gee",Bauchnabelpiercing,8
5lkBR7jAOIyMbY7DTbCXR3,Nizi19,Doktor,1
06omRdAYdjt870ggBAPHRe,"O.G. Pezo, Pashanim",Überleben,7
61d1sTOVbl7ixq2tSo5GZD,"Kani82, Omar101",60 Dinger,7
7tg4oJQRovsrXrRNHh5DGU,"Endzone, Kwam.E",Sick & Tired,4
76Lm6KvMmxVdKxGDzVwg4K,Sosa La M,Big Shaq,8
5LY20b84kLnv5CxFlbadxf,"oddworld, Levin Liam",ich mach mich (regardless),8
5OK9q3NR6mNex7XTNIejD8,"Pashanim, Chapo102",Homicides,7
06X1jf46YLupZP2dWHgmqX,Tom Hengst,LOBSTER,7
6S16lQN1U2xmeUNdiUzEBe,"Omar101, Lucio101",Cookies & Cream,7
0vpSRJFInNahUyc44iX2m1,"Cloud, boundxry, Viertel 105",Onlineshopping,8
3AB4Fi1stxmdaO3XWlMLbp,"Zartmann, Kasi, Aaron, antonius",meinen die uns,8
38ppVJNdbvse74GN5XnqvL,"$OHO BANI, Ericson",BLOCK THERAPIE,4
132NdYQcNLGGoPhPNUdQcW,Yosho,Andere Stadt,3
34sXbr32Ojl7mcEtgsWvJ0,TIEFBASSKOMMANDO,RABENVATER⠀,7
42jivjDp82Ryxvz2OHWbaa,"Endzone, TM",Trackpants,8
13ORVLRindZumJNMSmCsZJ,"Sira Faal, KazOnDaBeat",Purple Rain,7
7MjKR5HNXBnV1wlagbXTML,Lyno Nine8,Blocc Cruise,8
66f9vfjWaVt1bzgFW1k1um,CANEY030,EH UND JE,7
3g80ePm2llwjSscq5URune,"Brasco, CANEY030, Nizi19",Niemand,7
6ocEdv3r2yASPGP7moFUeZ,makko,Ausreden,8
4TUhaXmuwc9YnkeD50MRSJ,"Ansu, Cato, Levin Liam",Wünsche (feat. Levin Liam),3
34RhU4xMJUJPCFAqPrM0jp,Gola Gianni,Dubai,7
5aFkOC50QF48cZSOZECpqH,Zensery,SCHNAPS.,7
7thijCEhTV1vxtmLlqkkt6,Baron,Theodorheussstraße,1
1nYlprvZJBQwXlvoIeem5I,"ELEF, Sören Last",Engel,7
6duUkdeQum9BfyFRtteEcL,"moé, SOMA",Stille Leitung,3
0eUF8D6PlisH3S4LxZB2UT,"102 Boyz, Chapo102, Stacks102, Skoob102, Addikt102",Zartbitter Lindt,5
2WpyMNXF2pY1ZXYfvMxbii,"beslik, prodbypengg",Trotzdem,7
0p4yL8dpqfrvPZQMXfkKUv,"UNTER OBSI, DIZZY, YY",PULL UP,7
7yWtcoFS328sS0GE5U2q1l,"KARDO, X WAVE",BOUNCIN (ON MY ***),4
09u4xknAHKQbLA8kf0WOzh,Freddisson,Von Dutch Pt.1,8
2TrToimDJyXBKUGjjVzWat,"KARDO, X WAVE",QAQAQI (ALMANI),8
2E6sGpfKnjIxMF8IE4i8Yd,Lucio101,Superkraft,9
2Pmvk5rxWzCMiitsct4ruM,Freddisson,Top Trick,7
1hfWyLwBaRBZQK4y8Z1zLv,TELESHOP,so alleine,8
3Ltzj5m7tGkRizR2Nb1ETk,"O.G. Pezo, CANEY030",Herz Kalt,7
1DIqiqN9afvCS2IirZtJ5u,"Paula Hartmann, Lucio101, Nizi19",Disney,7
6CvjRT4G2XDOclpjta2MWY,Karamel19,LaMello Freestyle,7
2YZpXrlTBesfduRKNH8g1P,"Sira Faal, KazOnDaBeat",Verflucht,7
3VWT6WZG1gHmi4ryOqhfvk,Zensery,VÖLLIG LOSGELÖST,7
6AKIeXJvrRMRT7iswXhsZF,"rémi.fr, Julie, Pablo Rochat, Beqqi",Pacifica,7
3SE6QeQcTbrV4goXLIU1xm,"Souly, makko",Theorie und Praxis,7
26kPSCZWNqHTNzMz7PNYTw,TRIM,RESIDENT EVIL,9
7fIT8IISLeRnVmQydgYYh3,Yosho,Eigentlich,0
26cyxGtoVZznvGHP0VTrBi,"Amo49, Juh-Dee, Young Mesh",Doppel H,7
1zibZkbO2SMtSecGzOqN9B,"Ramzey, OG Keemo",RAMMBOCK,7
3gUNnU3l0TbduUn7RKQWau,"SHOKI, prodbypengg",Ballern!?,8
2iRDP2RZlI3BuHKQ3c7uLu,makko,Candlelights,7
07XHaFI8s3iLVsYVR38fMb,Sant,Splitter,7
7FbtGEKzbD6gdDO7sw6TZ6,Nizi19,Mein Akh,8
4ce3idV6AZL81GBwv8487G,Marlo,DUMM,7
6WZaAZnFCP19KoDzMEcTBy,"OG LU, DONNA SAVAGE, Jakepot",Rihanna,7
1G9JX6CBlsJKCJZEkukFBv,"KARDO, BANGWHITE, GOTTI, X WAVE",PLUGPARTY (XXX),4
6L9kY8Q2kdNzWwL2rSWXwB,Lucio101,Kein Spaß,4
0qnRIuSnXTIkOyhx1ZcssA,"Skoob102, 102 Boyz",Mit der Zeit,8
0ei3Bpc3lXVmy5OJbrnML5,TM,E-Auto,7
4xTiR0vr3mKAMFguYZZX6e,"AyVe, Juh-Dee",SoundCloud Rapper,7
5Fbvndo23YbiOCAucucynO,"Ulysse, Lugatti, Kevoe West",Kuranyi Freestyle,7
54YF1koCur4140YCGu9TSt,"9inebro, LUVRE47",Zementiert,7
4OvjDisi6wFGWLmjtEFDir,"1019, Lucio101, Omar101, Nizi19",Straße studiert,7
3k4NtMNtVGVpoSqPHgRB2E,crapjony,LIFE IS TUFF,8
0eAXmaYm4MEWPMzPLDnrip,Beyazz,Parkbank,8
5BifRohkouQmwaoEnUwaYi,"Ikkimel, Retado",HAT SIE NICHT GESAGT,8
73vexZqXi6NnyUg7hdfbvd,"Skoob102, 102 Boyz",Teamplayer,9
0dPUdzjs2zETkd8SzAazig,Musso,MEET UP,7
1sSLmnfqCC3K1dUliviRKC,makko,Nochmal,3
2fKA1WxKe21pQ5o9sh5DKM,Eli Preiss,Nikes,7
4LM5O3Qsyum942IjCgmSoV,"102 Boyz, Stacks102, Chapo102, Skoob102",Hausverbot,4
2nq3vBxbksCNzLfqZNXm7o,"Lucio101, Fergy53",Spät Nachts,7
1qXbOKvt5X9r3Ihouo7h5N,makko,undankbar,3
1m7xBV7GJVn1eo8Iafztw3,Teuterekordz,Beste Crew der Welt,9
2bIMHYfA1u2b6wWPcPgdNm,ELEF,Trendsetter,7
3tlYOn0N2BfR336hpCDBje,Sampagne,glizzerkleid,9
5KMiLXEmchWGZRMe1OO4PN,Rosc,Selbstverliebt & Arrogant,7
2IXYCofJeVgh5r2y0JXOMN,"prod.suki, Verifiziert",Unterwegs,8
5chE20bF1JCNnwEPkeKIll,Juno030,Sirenen,7
4SEMA2hhBUi7PNCDrQGJ51,"Kasi, antonius",fensterbank,7
1PKCv6cUNeKi6HSIxoWO20,"XAVER, Gustav, Sira Faal",Phase,0
1s0sorwRB17dDp4wVvcfQ6,ALYNE,Halb so high,8
4YxZQd3I4rj1nqkXgvpCk4,"Peter Fox, Inéz",Zukunft Pink (feat. Inéz),1
6sEoli2139kRG8Q7LfpHEY,"Levin Liam, Miksu / Macloud",Mann vom Fach,8
4HzmkEk0N7McNN2VIiNIvN,K.I.Z,Applaus,8
7HF2ixqp47pB4FcCSXkHP4,"Paula Hartmann, Trettmann",Atlantis,8
4iAq1t0b41GbvJECzWOTGe,"lucidbeatz, Souly",forever,8
66RGrSfoHxO8JSPK62jSLe,Trettmann,Prototype,8
3owQNPhIzH9VS9dvAI1Kta,K.I.Z,Frieden,7
2wEloLPHyL8awU7RWntCZi,"Marsimoto, Sido, Marteria",JACKY (feat. Sido & Marteria),5
6Rf0Rg1UgoBj0zoGyoAcSW,Paula Hartmann,Veuve,7
54fISEDtMKFkuSA2hx0mlE,Levin Liam,such mit mir,7
7cuzSEjbzo5KAmfNWoi4Na,"Trettmann, KITSCHKRIEG, Paula Hartmann, SFR",Gekreuzte Finger,7
1P0gub1eKrNoTmsFGzQ4TU,"OG Keemo, Levin Liam",Bee Gees - Single Edit,7
3UhJb0BOiY6joXpAANMe9R,Souly,Diamantstein,8
76zsDQLSnbZOT9ugOwOaRE,Paula Hartmann,zwischen 2 und 5,9
47VRtROAdociHgtuVZNoBL,Samy Deluxe,Weck mich auf,7
4ukBo7BejjVCB1dkwLEb30,Levin Liam,Ich Hab Dich,0
1vmtFH7dyIFtZ9mJORUoJD,K.I.Z,Görlitzer Park,7
2pGwfywShSNzZlJChXuO0C,"Trettmann, Souly",Heimlich Rauchen,7
6pimu004QBUVyiWJPYylGi,Paula Hartmann,schwarze SUVs,8
2WM40flGzeRJaqnSU1CNyi,"Tom Hengst, Disarstar",RENN (feat. Disarstar),7
3JSud3KS4sDoxQ8Ywfr0jF,"Tarek K.I.Z, Drunken Masters, K.I.Z",Gorilla,4
3fBPW2Ke5Vv0KpTFERyyG3,Souly,Bundeswehr,7
3uSWJuI3SGbn2HGKrhM3Mn,Nura,Fair,8
49eYzETwgcjazCkNehPSNh,Trettmann,Woanders,8
7waaOnxlxV89bfwToXa5z3,Levin Liam,Niemals Hatten,7
12jaEHICHdg9HfCVIr0s9r,"GERDA, OG Keemo",Dark Loop,7
0ARA3gfiFHacoVQ1vPFhpa,"OG Keemo, Souly",Tasche,7
0T8wIusBn0OpzFm2H6AVNY,Samy Deluxe,Poesie Album,4
32FPWxySVgUsH0SfG8efPu,Apsilon,Baba,0
11HT33bEUbUBfNqWt6VCx9,"Tarek K.I.Z, Drunken Masters, K.I.Z",Hartz 4,7
1po98uYmh7Wf2GFBOKQNGF,Peter Fox,Ein Auge blau,7
3e5b6b767hp4rka8nmH8mc,"Tua, Tarek K.I.Z",Niederlande,1
4LOGPJg8TsT0RC5xyvLN30,Casper,luft holen,7
2VSsJgvIyjG32tT7hLPmIq,"Sido, Karen, Tarek K.I.Z",Zwischen den Wolken (feat. Karen & Tarek K.I.Z),7
3oKZkTL8O5V7VPan93NRrA,Pöbel MC,Heliaktion,7
3FJ4uakJCNUgOxaS7upxSh,"Disarstar, Ruffy",Steig ein,7
3z8pZBBdIXV2kshZh2vZ1E,Souly,Sterne nehmen,5
3VwVOSAXCyN7n9hu2c7D4P,Levin Liam,intro (vergiss mich nicht zu schnell),0
0s23aZMa3N2ojQQiaSaub5,"Samy Deluxe, DJ Desue",Roter Velour,7
467TBxcDXq34o85onMX2CH,"Ami Warning, Fatoni",war dabei,8
69WnPkGaAvGHZC0Uh4ypA9,Marsimoto,KI (KEINE INTELLIGENZ),4
1cWiYzcIdDUX9eVaVnjrCG,"Souly, Gianni Suave",Ok Ok,7
0su3EEKSwkWxMAHTvEy1j0,Lance Butters,Long Live Lance,7
35riGdFOw3iO4FcRKnL42W,katlix,Keine Ahnung,0
0HZsi7S5hOq6Vqdu5hBttZ,Kool Savas,Brachland,7
4BcuvHl2HtADrfC0KJhviY,MAJAN,Jeder meiner Abis,3
2I1VWBdyYPjkzldPoLUP76,Ritter Lean,Einsame Insel,8
2pD4G0EYfP4S4Z83SLIDfF,Samy Deluxe,Pt. Drölf,7
5LPwh4tYFRmwAzNCIYrnbZ,"Zartmann, Drumla",zu stolz,0
3FTdz4OWblmswlinfJUDnO,Marsimoto,GAGA,7
6rIPv85eTCIPBKjuV1NkOb,"Disarstar, Jugglerz",Regenjacke,7
1cjn89HlALhLQZGHjvVijc,"GERDA, LIZ",Up im Smoke,7
0CiyKOkU4WF5MRGcEoVhSV,OG Keemo,Tórshavn,7
0RfmAY534FSC4ni92EMltc,"Apsilon, LUVRE47",90 Kilo,7
5Vk6QMQGbsjkF3Ouqvfrjy,"Ansu, OVE",Gestern,4
3MxUAsVtyFpJHObz3aeIws,Samy Deluxe,Stumm (Xenja),9
7Hed2ip5zzZfYCjCqohzVg,"Yassin, Mädness",Oke Oke,4
0i9BdoQ7CxwG4ied69tmSk,"Disarstar, LUVRE47, Jugglerz",Meine Stadt schläft nie,8
214nt20w5wOxJnY462klLw,Taylor Swift,Miss Americana & The Heartbreak Prince,8
1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,5
3RauEVgRgj1IuWdJ9fDs70,Taylor Swift,The Man,9
6RRNNciQGZEXnqk8SQ9yv5,Taylor Swift,You Need To Calm Down,9
1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,Lover,0
77sMIMlNaSURUAXq5coCxE,Taylor Swift,Fearless (Taylor’s Version),4
1qrpoAMXodY6895hGKoUpA,Taylor Swift,You Belong With Me (Taylor’s Version),4
6YvqWjhGD8mB5QXcbcUKtx,Taylor Swift,Love Story (Taylor’s Version),9
3yII7UwgLF6K5zW3xad3MP,Taylor Swift,22 (Taylor's Version),4
5YqltLsjdqFtvqE7Nrysvs,Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),5
6AtZLIzUINvExIUy4QhdjP,Taylor Swift,I Knew You Were Trouble (Taylor's Version),4
5enxwA8aAbwZbf5qCHORXi,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),9
3sW3oSbzsfecv9XoUdGs7h,Taylor Swift,Enchanted (Taylor's Version),4
2yLa0QULdQr0qAIvVwN6B5,Taylor Swift,...Ready For It?,5
6NFyWDv5CjfwuzoCkw47Xf,Taylor Swift,Delicate,3
1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,Don’t Blame Me,8
1P17dC1amhFzptugyAO7Il,Taylor Swift,Look What You Made Me Do,8
4R2kfaDFhslZEMJqAFNpdd,Taylor Swift,cardigan,8
5kI4eCXXzyuIUXjQra0Cxi,Taylor Swift,betty,0
0sY6ZUTh4yoctD8VIXz339,Taylor Swift,champagne problems,0
3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,0
2NmsngXHeC1GQ9wWrzhOMf,Taylor Swift,illicit affairs,0
